"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"Desolation (2017)"," Drama| Horror| Thriller","21-Jun-17","USA",,7.5,"78 min","Directed by Sam Patton. With Toby Nichols, Jaimi Paige, Alyshia Ochse, Claude Duhamel. A mother takes her son and her best friend on a trip into remote wilderness to scatter his father's ashes; they must confront their fears when a lone hiker begins following them.","Toby Nichols|Jaimi Paige|Alyshia Ochse|Claude Duhamel","English","Utica, New York, USA",
"Tales of Poe (2014)"," Fantasy| Horror| Thriller","1-Aug-14","USA",,6.8,"120 min","Directed by Bart Mastronardi, Alan Rowe Kelly. With Caroline Williams, Debbie Rochon, Adrienne King, Amy Steel. Based on the classic works of Edgar Allan Poe - a unique spin on three of Poe's popular stories (The Tell Tale Heart, Cask of Amontillado & Dreams). Directors Bart Mastronardi & Alan Rowe Kelly weave together a compelling and suspenseful anthology that will captivate Poe enthusiasts and horror fans alike!","Caroline Williams|Debbie Rochon|Adrienne King|Amy Steel|Randy Jones|Desiree Gould|Lesleh Donaldson|Alan Rowe Kelly|Brian Dorton|Brewster McCall|Joe Zaso|Michael Varrati|Susan Adriensen|Carl Burrows|Harry Dugan","English","Rockaway Beach, Queens, New York City, New York, USA",
"3 A.M. 3D (2012)"," Horror","22-Nov-12","Thailand",,5.5,"96 min","Directed by Isara Nadee, Kirati Nakintanon, Patchanon Thammajira. With Apinya Sakuljaroensuk, Focus Jirakul, Shahkrit Yamnarm, Ray MacDonald. Thailand's latest horror omnibus is made up of three chilling stories. Two sisters who own a wig shop. A funeral home employee falls in love. Two company directors who love playing scary pranks. Three stories set at 3 AM, the scariest hour of the night, where all spirits are free to roam.","Apinya Sakuljaroensuk|Focus Jirakul|Shahkrit Yamnarm|Ray MacDonald|Toni Rakkaen|Karnklao Duaysianklao|Peter Knight|Vasana Chalakorn|Vivid Bavornkiratikajorn|Nayapak Bhumipak|Thanawat Prasitsomporn|Prachakorn Piyasakulkaew|Kanyarin Nithinoparath","Thai",,
"Dabbe: Cin Çarpmasi (2013)"," Horror","2-Aug-13","Turkey",,7.1,"120 min","Directed by Hasan Karacadag. With Elcin Atamgüc, Mehmet Canbeg, Sabriye Günüç, Sultan Köroglu Kiliç. Preparing for her wedding, Kübra gets possessed by unknown livings. To cure Kübra, a psychiatrist, Ebru, gets on way. Ebru is also an old friend of Kübra. Ebru would work together with an exorcist to save Kübra. Just when things seemed to be going well, everything start going horribly wrong.","Elcin Atamgüc|Mehmet Canbeg|Sabriye Günüç|Sultan Köroglu Kiliç|Oguzhan Kocakli|Cansu Kurgun|Irmak Örnek|A. Murat Özgen","Turkish","Mugla, Turkey",
"The Swimmers (2014)"," Drama| Horror","7-Aug-14","Thailand",,6,"115 min","Directed by Sophon Sakdaphisit. With Chutavuth Pattarakampol, Supassra Thanachat, Thanapob Leeratanakajorn, Violette Wautier. After falling pregnant to Perth, her boyfriend's best friend, Ice commits suicide. She returns to haunt Perth while Tan seeks out the person who made her kill herself for his own revenge.","Chutavuth Pattarakampol|Supassra Thanachat|Thanapob Leeratanakajorn|Violette Wautier","Thai",,
"We All Fall Down (2016)"," Adventure| Drama| Horror| Sci-Fi| Thriller","12-Aug-16","USA",,2.7,"81 min","Directed by Kurt Knight. With David Phillip Fishman, Cardiff Gerhardt, Stephanie Guzman, Mae Veon Johnson. Todd, a haunted young man, runs from the past as he struggles to protect the innocence of Benny, his mute younger brother, in a post apocalyptic world where all the adults have turned into Zombies.","David Phillip Fishman|Cardiff Gerhardt|Stephanie Guzman|Mae Veon Johnson|Ruby Jones|Simon Jones|Chelsea Jurkiewicz|Evey Lindsey|Lex Lindsey|Melissa Mae|Parker Mayberry|Connor James Moore|Robert Nunez|Avery Pizzuto|Bella Pizzuto","English","Utah, USA",
"Mark of Death (2017)"," Action| Fantasy| Horror| Thriller","21-Oct-17","USA","UNRATED",,"80 min","Directed by Matt Spease. With Hailee Mason, Anthony Baker, Ryan Abbott, Caitlyn Bailey. An ex thief and his girlfriend are brutally killed by a group of his former associates. He is then resurrected as a female to exact revenge on their killers.","Hailee Mason|Anthony Baker|Ryan Abbott|Caitlyn Bailey|Matt Spease|Alix Lindbergh|Miracle Davis|Bradley Osborne|Phil Giourousis|Jade Michael LaFont|George W. Bynum|Rick Vyper|Brandon Ferguson|Brian Hardin|John Vasiliou","English","Ward, Arkansas, USA","$2,500 "
"#Slaughterhouse (2017)"," Action| Horror","1-Jul-17","USA",,8.2,,"Directed by Dino Maglaris. With Nicholas Saenz, Shayla Bagir, Karina Clark, David Harrod Jr.. A romantic spring getaway turns sinister when unexpected visitors join the party in a high-tech house that no one can escape.","Nicholas Saenz|Shayla Bagir|Karina Clark|David Harrod Jr.|Grace Marlow|Josh Vinyard|Michael Joplin|Valin Zamarron|Derek Babb|Elizabeth Trieu|Kim Jackson Wheeler|Louie Arnette|Brian Fisher|Zach Rigdon|Jennifer Ekeh","English","Austin, Texas, USA",
"The Mitchell Tapes (2010)"," Horror","29-Sep-17","USA","PG-13",4.9,,"Directed by Thomas S. Nicol. With Joe Estevez, Chuck Lamb, Chelsea Camerlengo, Rick Hills. This found footage horror film is the aftermath of a paranormal investigation gone wrong. The concept of their new reality TV series ""The Ghost Kids"", was to get together a group of teenagers who were more sensitive to paranormal, and then have them investigate the most haunted locations in the country. For the pilot episode they go to Clay County West Virginia, where legend tells that local man ...","Joe Estevez|Chuck Lamb|Chelsea Camerlengo|Rick Hills|Joseph Knapik|Jason Krotky|Dixie Jones|Scott Sheeley|Brian Wolfman Black Bowman|Portia Chellelynn|Brittany Crawford|Breanna Crowell|Twila Diawara|Fox|Ryan Gardener","English","Columbus, Ohio, USA","$6,500 "
"Hollows Grove (2014)"," Horror","21-Oct-14","USA","R",5,"81 min","Directed by Craig Efros. With Mykelti Williamson, Lance Henriksen, Matthew Carey, Sunkrish Bala. A young filmmaker documents his ghost-hunting, reality show friends as their routine investigation of an abandoned orphanage turns into a nightmare from which they can't escape.","Mykelti Williamson|Lance Henriksen|Matthew Carey|Sunkrish Bala|Bresha Webb|Val Morrison|Matt Doherty|Eddie Perez|Gary Sievers|Tanc Sade|Lindsey Smith-Sands|Michael Scott Allen|Haley Lyn Gilchrist","English","Los Angeles, California, USA",
"The Last House on Cemetery Lane (2015)"," Horror","17-Feb-15","USA","NOT RATED",3.5,"82 min","Directed by Andrew Jones. With Lee Bane, Vivien Bridson, Georgina Blackledge, Ian Grey. A screenwriter staying in an old manor house in West Wales discovers that it's haunted by malevolent spirits.","Lee Bane|Vivien Bridson|Georgina Blackledge|Ian Grey|Tessa Wood|Ian Smyth|Kelly Jones",,,
"Exorcism: Haunted Child (2015)"," Drama| Horror","8-May-15","Vietnam",,6.6,"90 min","Directed by Ba Vu Nguyen. With Vinh Anh Ho, Bang Khue Nguyen, Kim Tuyen Tran. The story is about three young people: My Lan, Thien Tam Khuong Duy and the strange, mysterious, and frightening things happening around them.","Vinh Anh Ho|Bang Khue Nguyen|Kim Tuyen Tran","Vietnamese",,
"Shark Week (2012)"," Action| Horror| Sci-Fi","4-Aug-12","USA","TV-14",2.4,"89 min","Directed by Christopher Ray. With Yancy Butler, Patrick Bergin, Joshua Michael Allen, Bart Baggett. A group of complete strangers find themselves isolated by a wealthy madman on his island compound.","Yancy Butler|Patrick Bergin|Joshua Michael Allen|Bart Baggett|Erin Coker|Frankie Cullen|Valerie K. Garcia|Billy Ray|Meredith Thomas|Robert Matthew Wallace|Eric s Wilson|Israel Wright|Josh Williams|John Paul Bennett","English","Eleuthera Island, Bahamas",
"11-12-13 Rak Kan Ja Tai (2016)"," Comedy| Horror","31-Mar-16","Thailand",,6.2,,"Directed by Sarawut Wichiensarn. With Sukollawat Kanaros, Nutthasit Kotimanuswanich, Ramita Mahapreukpong, Mek Mekwattana. 3 Scary stories Occurred during Songkran.","Sukollawat Kanaros|Nutthasit Kotimanuswanich|Ramita Mahapreukpong|Mek Mekwattana","Thai",,
"Chupacabra Territory (2016)"," Horror","1-Mar-16","USA",,6.8,"90 min","Directed by Matt McWilliams. With Sarah Nicklin, Michael Reed, Alex Hayek, Bryant Jansen. The Chupacabra is real and four friends will document it! Will they survive?","Sarah Nicklin|Michael Reed|Alex Hayek|Bryant Jansen|Elliot Book|Donnie Brinker|Megan Hensley|Pierre Kennel|Julianne Tura|Mike Wood",,"Lake Hughes, California, USA",
"6-5=2 (2013)"," Horror| Thriller","29-Nov-13","India",,6.3,"105 min","Directed by Swarna Latha. With Darshan Apoorva, Vijay Chendoor, Mruthyunjaya, Pallavi. Six friends plan for a trek to an undisclosed mountain in Western ghats.","Darshan Apoorva|Vijay Chendoor|Mruthyunjaya|Pallavi|Krishna Prasad|Ramesh|Tanuja","Kannada",,
"Dearest Sister (2016)"," Drama| Horror","21-Apr-17","Estonia",,6.2,"101 min","Directed by Mattie Do. With Amphaiphun Phommapunya, Vilouna Phetmany, Tambet Tuisk, Manivanh Boulom. A village girl travels to the Lao capital, Vientiane, to care for her rich cousin who has lost her sight and gained the ability to communicate with the dead.","Amphaiphun Phommapunya|Vilouna Phetmany|Tambet Tuisk|Manivanh Boulom|Yannawoutthi Chanthalungsy|Maluly Chanthalangsy|Brandon Hashimoto|Naliphone Siviengxay|Douangmany Soliphanh|Maneevone Chanthalungsy|Danouphonh Chanthakoummane|Oudomphone Pholsena|Namsoke Xayluesa|Latsamy Inoudome|Sivin Simala","Lao|Estonian|English|Thai","Laos",
"The Oregonian (2011)"," Horror| Mystery| Thriller","8-Jun-12","USA","NOT RATED",4.2,"81 min","Directed by Calvin Reeder. With Lindsay Pulsipher, Robert Longstreet, Matt Olsen, Lynne Compton. A woman leaves the farm and enters the unknown.","Lindsay Pulsipher|Robert Longstreet|Matt Olsen|Lynne Compton|Roger M. Mayer|Barlow Jacobs|Tipper Newton|Chadwick Brown|Jed Maheu|Zumi Rosow|Scott Honea|Christian Palmer|Christo Dimassis|Mandy M Bailey|Meredith Binder","English","Hollywood, Los Angeles, California, USA",
"Alarmed (2014)"," Horror| Thriller",2014,"USA",,3.4,"90 min","Directed by Matt Lofgren. With Jennifer Stuckert, Olivia Aaron, Heidi Brigman, Griffin Daley. Trapped aboard the family yacht, Samantha lives out her personal Hell, night after night, answering to the cruel and painful demands of the ship's alarm system. Taking a journey into the depths of depravity, she wakes each morning to the disfiguring scars left by the previous night's horror and searches for the answer to a missing memory: 'Could I have killed my family... Or did Hell get it wrong...","Jennifer Stuckert|Olivia Aaron|Heidi Brigman|Griffin Daley|Baily Hopkins|Sarah Klaren|Larry Laverty|Erin Meadows|Melissa Quine|Brian Rife|Joel Roth|Dann Shively|Ross Turner|Kari Wishingrad","English",,
"Sisters of the Plague (2015)"," Drama| Horror| Mystery| Sci-Fi",2016,"USA",,3,"80 min","Directed by Jorge Torres-Torres. With Isolde Chae-Lawrence, Josephine Decker, Eva Dorrepaal, Thomas Francis Murphy. Sensing evil, a haunted house tour guide seeks a medium's help only to be warned that she is facing a vengeful power beyond her control.","Isolde Chae-Lawrence|Josephine Decker|Eva Dorrepaal|Thomas Francis Murphy","English",,
"Inside the Whore (2012)"," Horror","3-Oct-12","Norway","NOT RATED",2.1,,"Directed by Reinert Kiil. With Susanne Estelle, Lisa Barsten, Anniken Mjelde Sjo, Torgrim Ødegård. During the shooting of Reinart Kiil's feature film ""Inside the Whore"" a lot of mysterious things happen on set.","Susanne Estelle|Lisa Barsten|Anniken Mjelde Sjo|Torgrim Ødegård|Linn Cathrine Sonflå|Heidi Ødegaard Mikkelsen|AnnaLee Dorazio|Irris Hollanes Lua|Kim Sønderholm|Therese Kruge|Aurora Huseth Bjørnhaug|Jørgen Langhelle|Vegar Hoel|Viktoria Winge|Dagrun Anholt","Norwegian|English","Fykse, Norway",
"From Jennifer (2017)"," Comedy| Horror| Thriller","26-Sep-17","USA","TV-MA",7.4,"85 min","Directed by Frank Merle. With Derek Mears, Tony Todd, Aaron Abrams, Justin Michael Terry. An actress becomes obsessed with internet fame after her manager drops her for not having enough of a social media presence.","Derek Mears|Tony Todd|Aaron Abrams|Justin Michael Terry|Curtis Kingsley|Meghan Deanna Smith|Trae Ireland|Sarah Allyn Bauer|Kurt Scholler|Charles Chudabala|Devin Reeve|Emily Dahm|Danielle Taddei|Jason Murphy|Kurt Maloney","English",,
"The Summoning (2014)"," Horror","13-Oct-14","USA","TV-MA",3.2,"88 min","Directed by Curtis Schultz. With Shanna Mclaughlin, Amy LoCicero, Brian C. Chenworth, Jordan Wall. A group of friends set out on a road trip to ""the party of the century"" in the middle of nowhere, but on the way, they break down and find themselves being hunted for a satanic ritual.","Shanna Mclaughlin|Amy LoCicero|Brian C. Chenworth|Jordan Wall|J. LaRose|John Kyle|Flavio Milicchio|Elaine Hoxie|Lainie Kates|Wesley Alley|Michael Coy|Katie Annette Gallagher|Cory Arnold|Daniel Fosse|Andrew H. Newman","English","Orlando, Florida, USA","$200,000 "
"Beg (2011)"," Horror",2014,"USA",,5.3,,"Directed by Kevin MacDonald. With Tony Moran, Tony Todd, P.J. Soles, Brandon Stumpf. Jack Fox, a burnt out detective, is being forced into early retirement, as the worst serial killer since the Boston Strangler begins a killing spree through the streets of Salem. When detective Steve Ryan moves to town with his family, Jack is torn between a life of retirement and sanity or helping rookie detective Ryan in his quest to solve these killings that are haunting the people of Salem.","Tony Moran|Tony Todd|P.J. Soles|Brandon Stumpf|Tiffany Shepis|Debbie Rochon|Michael Berryman|Steven Somers|Ally Tully|Gianna Simone|Kevin Barbare|Sarah Nicklin|John Misner|Michelle Romano|Emanuela Alves","English","Abington, Massachusetts, USA","$50,000 "
"Bag Boy Lover Boy (2014)"," Comedy| Horror","3-Oct-14","USA",,6.1,"77 min","Directed by Andres Torres. With Theodore Bouloukos, Jon Wachter, Kathy Biehl, Karah Serine. ""Bag Boy Lover Boy"" follows the lowly life of Albert, an oddball hotdog vendor who is shocked to find himself suddenly becoming the bizarre muse of enigmatic NYC photographer Ivan. But shocks come his way even more so when, amidst his role in Ivan's disturbing photographs for which he poses, Albert finds out just how difficult it is to succeed in the art world, leading him to take some disturbing...","Theodore Bouloukos|Jon Wachter|Kathy Biehl|Karah Serine|Adrienne Gori|Tina Tanzer|Marseille Morillo|Teena Byrd|Sarah O'Sullivan|Saoko Okano|James Elwood|Norman Outlaw|Peter Trojgaard|Ryan Preimesberger|Amanda Charles","English","New York City, New York, USA",
"Potent Media's Sugar Skull Girls (2016)"," Comedy| Horror","1-Oct-16","USA",,2.8,"70 min","Directed by Christian Grillo. With Michael Berryman, Leslie Easterbrook, Addy Miller, John Amplas. Three demonic sisters who resemble neo-goth voodoo dolls are accidentally conjured from the other side during a failed attempt to raise a little girl from the dead. With impeccable fashion sense and teen aged angst, the Sugar Skull Girls will stop at nothing to escape the clutches of The Pale Witch, the ruler of The Shadow world.","Michael Berryman|Leslie Easterbrook|Addy Miller|John Amplas|Isabella Sobejano|Rebecca Stern|Cece Hagen|David B. Stewart III|Carmela Hayslett|Christian Grillo|Scott Strasbaugh|James F. Murray Jr.|Morgan Elise Beatty|Randy Memoli|Megan Teresa Flynn","English",,"$1,500,000 "
"Chasing the Devil (2014)"," Horror","7-Mar-14","USA","NOT RATED",5,"84 min","Directed by Mark Haber. With Tim Phillipps, Vivan Dugré, Chris Yule, Cory Knauf. Patrick McCord doesn't accept the explanation of his sister's mysterious death as suicide, and instead teams up with a team of paranormal investigators to delve deeper into the inexplicable circumstances that surround what he believes to be murder. The team's investigation leads them from one bizarre and frightening clue to another, at the center of which seems to exist something evil and ...","Tim Phillipps|Vivan Dugré|Chris Yule|Cory Knauf|Ary Katz|Colleen Donovan|Stephan Smith Collins|Challen Cates|Chris Devlin|Elise Eberle|David Goldman|Andres Perez-Molina","English",,
"Nine Miles Down (2009)"," Horror| Mystery| Sci-Fi| Thriller","28-Jun-12","South Korea","NOT RATED",5.5,"86 min","Directed by Anthony Waller. With Adrian Paul, Amanda Douge, Anthony Waller, Caroline Couret-Delegue. A security expert is sent to a remote scientific camp to investigate strange things that are happening.","Adrian Paul|Amanda Douge|Anthony Waller|Caroline Couret-Delegue|Bruno Andreis|Pierre Cognet|Thierry Goron|Adel Kallel|Attila Szûcs|Nicholas Waller|Kate Nauta|David Story|Andrew Ryback|Arcadiy Golubovich|Yousef Amin","English","Budafoki Film Studios, Budapest, Hungary","$22,000,000 "
"The Black Gloves (2017)"," Horror","28-Oct-17","UK",,6.9,"80 min","Directed by Lawrie Brewster. With Jamie Scott Gordon, Macarena Gómez, Alexandra Nicole Hulme, Briony Monroe. The Black Gloves tells the story of a psychologist obsessed with the disappearance of his young patient, and the menacing owl-headed figure that plagued her nightmares. His investigations lead him to a reclusive ballerina who, just like his patient, is convinced that she is about to die at the hands of this disturbing entity. In the bleak Scottish highlands, Finn counsels his new patient, under ...","Jamie Scott Gordon|Macarena Gómez|Alexandra Nicole Hulme|Briony Monroe|Craig J. Seath|Nicholas Vince","English",,
"Bloodline (2013)"," Horror","27-Sep-13","USA","R",3.8,"88 min","Directed by Matt Thompson. With Matt Thompson, Kimberly Alexander, Jesse Kristofferson, Gina Comparetto. A seminary student discovers his bloodline is sought by evil.","Matt Thompson|Kimberly Alexander|Jesse Kristofferson|Gina Comparetto|Christopher Frontiero|Grainger Hines|Zahn McClarnon|Michael Reinero|Michael Acosta|John Douglas Ayers|Jared Cabuag|Lucinda Chrisman|Shawn E. Dinkins|Michael James Farmer|Nick Fenske","English",,
"Raptor Ranch (2013)"," Action| Adventure| Horror| Sci-Fi","31-Oct-13","USA",,3,"90 min","Directed by Dan Bishop. With Jana Mashonee, Lorenzo Lamas, Cole Brown, Donny Boaz. Fossil Ridge, once believed to be a cattle ranch is discovered to be a breeding ground for vicious prehistoric velociraptors. When the bloodthirsty dinosaurs escape, the townspeople must fight to survive the deadly raptors.","Jana Mashonee|Lorenzo Lamas|Cole Brown|Donny Boaz|Cody Vaughan|Alexandra Nicole Hulme|Kim Matula|Rowdy Arroyo|Marcus M. Mauldin|Declan Joyce|Carrie Newell|Jack Gould|Ines Brigman|Al Burke|Kyle Little","English","St. Petersburg, Russia","$3,500,000 "
"The Museum Project (2016)"," Horror| Mystery","31-May-16","Australia",,5.5,"45 min","Directed by Dion Cavallaro, Paul Evans Thomas. With Alison Wills, Paul Evans Thomas, Ned Holland, Raymond Fountain. A group of students decide to base their media assignment on a local railway museum myth. However, when they trespass the premises after hours, they soon learn that some myths are more than stories.","Alison Wills|Paul Evans Thomas|Ned Holland|Raymond Fountain|Cain Harrip|Alex Cavallaro|Darcy Clarke|Rose Kerry|Dion Cavallaro","English",,
"Legacy of Thorn (2016)"," Action| Horror","29-Feb-16","UK",,5,"97 min","Directed by Mj Dixon. With Jade Wallis, Mem Ferda, Paris Rivers, Craig Canning. Four years ago, Jess and her friends lived a nightmare that has left her almost killed by the unstoppable killer 'Thorn'. Four years later, Jessica and the survivors make an attempt to stop him once and for all.","Jade Wallis|Mem Ferda|Paris Rivers|Craig Canning|Jane Haslehurst|Aaron Jeffcoate|Stephanie Jezard|Evie Constanti|Alex Tamaro|Richard Daniel Thomas Holloran|Dave Laurie|Nathan Head|Eirian Cohen|Sam Cullingworth|William Marshall","English",,"  £7,000  "
"Baby Blues (2013)"," Horror","2-Sep-14","USA","NOT RATED",3.8,"92 min","Directed by Po-Chih Leong. With Sing Kwan Janelle, Raymond Lam, Hoi-Pang Lo, Karena Ng. When a young couple moves into a home, they find a mysterious doll that changes their lives forever.","Sing Kwan Janelle|Raymond Lam|Hoi-Pang Lo|Karena Ng|Kate Tsui","Chinese","China",
"Death's Door (2015)"," Horror","29-Sep-15","USA",,5.3,"91 min","Directed by Kennedy Goldsby. With Obba Babatundé, Chico Benymon, Andrew Cappelletti, Tommy 'Tiny' Lister. It all begins with an anonymous text message with a party invitation. A dozen young men and women gather, eat, drink, party, and have the time of their lives inside the doors of a dilapidated mansion - that is, until it's time to go. The front door doesn't open; the back door doesn't open. Doors that once led to familiar rooms now lead to new ones; some doors open to yet other doors, and some go s","Obba Babatundé|Chico Benymon|Andrew Cappelletti|Tommy 'Tiny' Lister","English",,"$300,000 "
"Scary Tales: Last Stop (2015)"," Horror","28-Mar-15","USA",,5.4,"82 min","Directed by Geno McGahee. With Chris Geoffrion, Leeann Aubuchon, Xoe Rose, Julian Lowenthal. After a train wreck, four passengers from different walks of life are trapped together and share their recent nightmares. Masked killers, Bigfoot, crazed lovers and a Satanic cult are just the beginning of the terror as this group quickly realizes that they may have experienced more than a dream and the true nightmare is about to begin.","Chris Geoffrion|Leeann Aubuchon|Xoe Rose|Julian Lowenthal|Logan Lopez|India Anderson|Pete Baez|Anjilah Clawson|John Daigle|Renee Day|Scott C. Day|Patrick French|Janelle Greco|Ashley Ann Hartzler|Morgan Long","English",,
"Badlands of Kain (2016)"," Horror| Mystery| Thriller","5-Apr-16","USA","TV-14",5.6,"108 min","Directed by Andy Palmer. With Rachelle Dimaria, Katrina Norman, Paul Soter, Jordan Belfi. Shannon and Kris embark on a cross country road trip, to put back the pieces of their strained friendship. But it all falls apart when their car breaks down in Kain, Arizona. A place where you can check in anytime you want, but you can never leave.","Rachelle Dimaria|Katrina Norman|Paul Soter|Jordan Belfi|James Marshall|Scott Evans|Kaylee Wing|Nikki Tomlinson|Anna Lillie|Lyn Mahler|Leigh Hall|Linda Sherdel|Trent Walker|Paul Bowman|Anita Boyd","English","Lake Isabella, California, USA",
"La cueva (2014)"," Horror","11-Jul-14","Spain","NOT RATED",5.7,"80 min","Directed by Alfredo Montero. With Marta Castellote, Xoel Fernández, Eva García-Vacas, Marcos Ortiz. Five friends go unannounced on a vacation. Soon they discover a cave entrance, which they decide to explore.","Marta Castellote|Xoel Fernández|Eva García-Vacas|Marcos Ortiz|Jorge Páez","Spanish","Formentera, Balearic Islands, Spain",
"What Lies Beyond... The Beginning (2014)"," Comedy| Horror","7-Nov-14","USA",,4.8,"90 min","Directed by Jarrod Knowles. With Melissa Pastrana, Kary Musa, Masha Silberberg, Harley Souza. While on an ecology research trip, 8 diverse college students and a witty chaperone must decide whether to fight for their lives OR fight to escape, when suddenly all hell breaks loose.","Melissa Pastrana|Kary Musa|Masha Silberberg|Harley Souza|Addys Guerra|Adriana Scala|Lexi Delarosa|Joseph Akharoh Jr.|Jenny Marrero|Zack Dean|Carlos Acevedo|Ely Feldman|Shabnam Safarzadeh|Shaghayegh Safarzadeh|Sara Jay","English","Miami, Florida, USA",
"The Bates Haunting (2012)"," Horror| Thriller","5-Mar-14","Philippines","NOT RATED",3.2,"76 min","Directed by Byron Turk. With Jean Louise O'Sullivan, Zachary Fletcher, Dante Zucca, Ryan Dunn. One year ago, Agnes Rickover attended opening night at the Bates Motel and Haunted Hayride to see her best friend Lily's dramatic debut. A horrific accident resulted in Agnes witnessing Lily's fiery death in a spectacle gone wrong. After a year of obsessing over a murder investigation everyone else thinks is open and shut, Agnes goes to work at the Haunt in an attempt confront her trauma. ...","Jean Louise O'Sullivan|Zachary Fletcher|Dante Zucca|Ryan Dunn|Bam Margera|Rocco A. Amato|Chelsea Barr|Randy Bates|Jim Cope|Karen Eckstein-sarkissian|Kimmy Foraker|Robert Haag|Brian Haas|Norman Hillbish|Jeximé Icon","English","1835 Middletown Road, Glen Mills, Pennsylvania, USA",
"Take Me Home (2016)"," Horror","13-Apr-16","Thailand",,5.7,"94 min","Directed by Kongkiat Khomsiri. With Nopachai Chaiyanam, Djuangjai Hirunsri, Mario Maurer, Wannarot Sonthichai. After losing his memory from an accident, Tan tried to find his identity. Eventually, he found something and led him back to his home sweet home. The more he knows them, the more he learns to fear of their secrets of his so-called family.","Nopachai Chaiyanam|Djuangjai Hirunsri|Mario Maurer|Wannarot Sonthichai|Nabhada Sukhakrit","Thai",,
"The Kiss of a Killer (2013)"," Horror| Mystery| Thriller","3-Dec-13","USA","R",4.1,"106 min","Directed by Lucien Förstner. With Andreas Wisniewski, Steven Weber, Joachim Günthner, Thomas Bangert. Bela Kiss was one of the the most brutal serial killers, who killed 23 young women during the beginning of the first World War. The blood-drained bodies were found in metal barrels, conserved in alcohol.","Andreas Wisniewski|Steven Weber|Joachim Günthner|Thomas Bangert|Jörg Koslowsky|Kristina Klebe|Fabian Stumm|Ben Bela Böhm|Janina Elkin|Angus McGruther|Jürgen Förstner|Roman Shamov|Cameron Begg|Collien Ulmen-Fernandes|Julia Horvath","German|English|Russian",,
"Bong of the Living Dead (2017)"," Horror","20-Oct-17","USA",,9.4,,"Directed by Max Groah. With Tiffany Arnold, Eric Boso, Daniel Alan Kiely, Laura E. Mock. A group of friends and zombie movie buffs have their life long dream come true. As their provisions run low, reality begins to set in and they realize that the zombie apocalypse isn't all it's cracked up to be.","Tiffany Arnold|Eric Boso|Daniel Alan Kiely|Laura E. Mock|Dan Nye|Cat Taylor|Ben Brown|Sarah Starr|Jason Jay Crabtree|Luther Center|Bill Koruna|Danielle Talbott|Mary Jo Apisa|Vidas Barzdukas|Allison Black","English",,
"6 Degrees of Hell (2012)"," Horror","30-Sep-13","UK","NOT RATED",2.6,"90 min","Directed by Joe Raffa. With Corey Feldman, Brian Anthony Wilson, Nicole Cinaglia, David J. Bonner. Six individuals are caught up in a supernatural perfect storm, as an evil lays claim to one of them while threatening to tear apart the soul of a small Pennsylvania town.","Corey Feldman|Brian Anthony Wilson|Nicole Cinaglia|David J. Bonner|Joe Raffa|Ashley Sumner|Kyle Patrick Brennan|Faust Checho|Brian Gallagher|Susan Moses|Alexander Mandell|Tom McCarthy|Damon Bonetti|Jill Whelan|Tereza Hakobyan","English","Saylorsburg, Pennsylvania, USA",
"Slice 2 (2011)"," Comedy| Horror","10-Jul-15","USA",,,,"Directed by Pierre Edwards. With Pierre Edwards, Doris Morgado, Gregory Alan Williams, Brittney Brackett.","Pierre Edwards|Doris Morgado|Gregory Alan Williams|Brittney Brackett|Ron Tyler|Dwayne Boyd|Rose Bianco|Riley Brock|Anthony D. Davis|Clayton English|Bradford Haynes|Angel Jackson|Rodney Perry|Christina Smith|Starletta Yeager","English",,
"The Thirteenth (2017)"," Horror","15-May-17","UK",,9.4,"72 min","Directed by Chris Hastings. With Rebecca Grant, Richard Syms, Lorna Doyle, Kurtis Stacey. When Chris finds out his dead father's legacy is no more than a mysterious riddle only he can solve, he's not interested. He just wants to pay a flying visit to the remote Greek island where his estranged father died, sort out his belongings, and go. But it's not that simple. Meeting a beautiful, mysterious woman, Chris learns his father died investigating an ancient mystery and may have ...","Rebecca Grant|Richard Syms|Lorna Doyle|Kurtis Stacey|Wookie Mayer","English","Symi, Greece","  £500,000  "
"Lipstick (2013)"," Horror","2-Nov-13","Japan","NOT RATED",3.8,"70 min","Directed by Ainosuke Shibata. With Go Kanma, Hiroaki Kawatsure, Natsuko Kimura, Yohei Kisarazu. Everything was perfect for international superstar Arina... until she became the target of an obsessive fan. Afraid for her life, Arina begs for protection from respected police officer Goto, who reveals himself as the very person Anna fears most! Brutalized and ignored by her friends and family, Anna - now armed with a machete - decides to reap her revenge.","Go Kanma|Hiroaki Kawatsure|Natsuko Kimura|Yohei Kisarazu|Mickey Koga|Shôichi Matsuda|Shôko Nakahara|Isamu Sugihara|Chiemi Toi|Miyuki Yokoyama","Japanese",,
