"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"Amnesiac (2013)"," Drama| Horror| Thriller","1-Mar-13","UK","TV-MA",3,"90 min","Directed by Martin Rutley. With Gemma Deerfield, Leon Florentine, Katya Greer, Edwina Lea. A blend of supernatural horror and psychological drama, Wyke Wreake counts the cost of loss, guilt and reckless desperation as we delve into the life of one deeply disturbed young woman and the afterlife of one equally disturbed dead man.","Gemma Deerfield|Leon Florentine|Katya Greer|Edwina Lea|James Marsh|Jon Stoley","English",,
"The Biker Warrior Babe vs. The Zombie Babies from Hell (2014)"," Horror","1-Nov-14","USA","TV-MA",3.6,"79 min","Directed by Jeremiah Morehouse. With Candi Achibald, Kaza Marie Ayersman, Caitlin Bentley, Nathan Bingman. A botched demon summoning causes three friends to become the de facto saviors of their hometown, Cranberry Lake. It's a race against time to correct the ritual before a legion of demonic zombie babies eat everyone in town.","Candi Achibald|Kaza Marie Ayersman|Caitlin Bentley|Nathan Bingman|Michael Black|Jessica Bloom|Matt Brissette|Dallas Coulter|Sally Coventry|Nigel Daniel|Heather Davidson|Brii Davis|Jake Dylman|Elise Eden|Ryan E. Francis","English","Heath, Ohio, USA","$10,000 "
"Münafik (2015)"," Drama| Horror| Thriller","3-Apr-15","Turkey",,4.8,,"Directed by Ozkan Aksular. With Özer Arslan, Murat Bulent Atacan, Balim Gaye Bayrak, Karina Malsagova. In 1984, Valeria, who has worked for one of the ESP laboratories, which works on investigating parapsychological phenomena in Soviet Union, comes to Turkey by invitation of her ex-lover for the purpose of making a research related to a woman known as ""Nazife the Possessed"". Working in the village Nalbant, in Azdavay, Kastamonu. Carrying on her research, Valeria suddenly vanishes without a trace. ...","Özer Arslan|Murat Bulent Atacan|Balim Gaye Bayrak|Karina Malsagova|Zeynep Okan|Nalan Olcayalp|Ahmet Fuat Onan|Hakan Salinmis|Erdogan Sicak|Gülriz Sirinyan|Levent Sülün","Turkish","Istanbul, Turkey",
"Bloody Snow (2016)"," Horror","25-Aug-16","USA",,3.2,"61 min","Directed by Desmon Heck. With Monique Giselle, Chris Nelson, Desmon Heck, Matt Schulte. Sara Snow, an awkwardly lonely and nervous girl, is being targeted by a serial killer whose thirst for death cannot be quenched.","Monique Giselle|Chris Nelson|Desmon Heck|Matt Schulte|Sam Wiegers|Chara Burgh|Lydia Castro|Kristen DeLuca|Ben Crowley|Kristine Kay Kelly|Ryan T. Husk|Chris Prascus|Meghan Keeler|Michael John Lane|Rachel Matisoff","English",,
"Awaiting (2015)"," Drama| Horror| Thriller","1-Mar-15","Portugal",,4.7,"95 min","Directed by Mark Murphy. With Tony Curran, Diana Vickers, Rupert Hill, Peter Woodward. Deep in the English moors, a sociopath preys on innocent people, until one day his secrets are finally revealed and an inevitable confrontation is at hand.","Tony Curran|Diana Vickers|Rupert Hill|Peter Woodward|Adrian Bouchet|Charley Mcdougall|Sophie Lovell Anderson","English","York, North Yorkshire, England, UK","$3,000,000 "
"Tin Can Man (2007)"," Horror","1-Mar-12","Ireland","NOT RATED",6.5,,"Directed by Ivan Kavanagh. With Patrick O'Donnell, Michael Parle, Emma Eliza Regan, Kreeta Taponen. Recently dumped by his girlfriend for another man, working in a job he hates, things could be better for Peter. One night, while he is alone in his apartment, there is a knock at the door. His life will never be the same again.","Patrick O'Donnell|Michael Parle|Emma Eliza Regan|Kreeta Taponen","English",,"  €10,000  "
"Die Die Delta Pi (2013)"," Horror","21-Jun-13","USA","UNRATED",4.2,"78 min","Directed by Sean Donohue, Christopher Leto. With Aaron Quick Nelson, Krystal Pixie Adams, Andrea Alfonso, Bianca Allaine. In the 1980's, a group of sorority girls pull a prank on a fellow Sister out of envy, which results in her being burned to death. But did she really die, or is she still seeking revenge?","Aaron Quick Nelson|Krystal Pixie Adams|Andrea Alfonso|Bianca Allaine|Vincent Anthony|Kristin Avery|Kyle Ayala|Lexi Balestrieri|Christine Bell|Olivia Blake|Raven Blakkwell|Keisha Burchard|Shade Burnett|Nick Canning|Colin Carney","English","Tampa, Florida, USA","$7,000 "
"Return to Blood Fart Lake (2012)"," Horror","21-Feb-12","USA","NOT RATED",4.5,"72 min","Directed by Chris Seaver. With Jesse Ames, Andrew Baltes, Billy Garberina, Bobby Hartsfield. Many years have passed since the tragic events at Blood Fart Lake, where Jimmy dispatched a bunch of party going, cabin dwelling kids before he could be stopped by Ben Scrivens & his red neck pal, Leo Dechamp. Now Jimmy has returned, this time preying on a group of ""Spirit Hunters"" searching for the truth to his killings, & Ben must track down Leo before they're added to his list of victims!","Jesse Ames|Andrew Baltes|Billy Garberina|Bobby Hartsfield|Meredith Host|Jason McCall|Chris Seaver|Trevor Smith|Josh Suire|Lauren Van Deroef|Whitney VanHorn|Clark Westfield","English",,"$3,000 "
"Art School of Horrors (2015)"," Comedy| Horror","29-Oct-15","USA",,6.8,,"Directed by Thijs Bazelmans. With Sarah Rose Butler, Jeffrey Combs, Zach Eulberg, Connie Foster.","Sarah Rose Butler|Jeffrey Combs|Zach Eulberg|Connie Foster|Durand Garcia|Michael Grayson|Camille Grenier|Mark Haptonstall|Matthew Jacobs|Jeremy Jones|Kenny Leu|Arielle Mandelberg|Charlie Max|Sean McQueen|Alejandro Morales","English","San Francisco, California, USA",
"Caesar and Otto's Deadly Xmas (2012)"," Comedy| Horror","30-Jun-12","USA","NOT RATED",4.1,"83 min","Directed by Dave Campfield. With Dave Campfield, Paul Chomicki, Deron Miller, Ken MacFarlane. In this interstitial comedy/horror film, Caesar Denovio (Dave Campfield) and his half brother Otto Denovio (Paul Chomicki) take on duties as Santa and his elf. However, the bodies begin to pile up when a fellow store Santa (CKY's Deron Miller) develops a vendetta against them, and he soon turns Caesar's list of Dinner guests into a list of Xmas-inspired victims! Features cult movie icons Linnea ...","Dave Campfield|Paul Chomicki|Deron Miller|Ken MacFarlane|Summer Ferguson|Brinke Stevens|Scott Aguilar|Avi K. Garg|Samantha Barrios|Neil Leeds|Dawn Burdue|Robin Ritter|Shawn C. Phillips|Aaron Miller|Mike Johansen","English","Topanga Canyon, California, USA",
